Distance (mm)	Counts
0.0	245.0
0.2	226.0
0.4	240.0
0.6	267.0
0.8	222.0
1.0	272.0
1.2	280.0
1.4	285.0
1.6	274.0
1.8	300.0
2.0	335.0
2.2	335.0
2.4	320.0
2.6	311.0
2.8	334.0
3.0	353.0
3.2	371.0
3.4	377.0
3.6	374.0
3.8	359.0
4.0	351.0
4.2	390.0
4.4	406.0
4.6	440.0
4.8	449.0
5.0	445.0
5.2	491.0
5.4	557.0
5.6	570.0
5.8	663.0
6.0	810.0
6.2	891.0
6.4	967.0
6.6	1001.0
6.8	1072.0
7.0	1279.0
7.2	1360.0
7.4	1382.0
7.6	1428.0
7.8	1544.0
8.0	1463.0
8.2	1425.0
8.4	1332.0
8.6	1432.0
8.8	1307.0
9.0	1203.0
9.2	1189.0
9.4	1077.0
9.6	956.0
9.8	972.0
10.0	871.0
10.2	798.0
10.4	711.0
10.6	718.0
10.8	680.0
11.0	703.0
11.2	769.0
11.4	750.0
11.6	878.0
11.8	929.0
12.0	1043.0
12.2	1123.0
12.4	1154.0
12.6	1285.0
12.8	1303.0
13.0	1439.0
13.2	1421.0
13.4	1513.0
13.6	1490.0
13.8	1507.0
14.0	1557.0
14.2	1437.0
14.4	1363.0
14.6	1252.0
14.8	1207.0
15.0	1115.0
15.2	992.0
15.4	865.0
15.6	784.0
15.8	766.0
16.0	663.0
16.2	577.0
16.4	531.0
16.6	487.0
16.8	488.0
17.0	451.0
17.2	453.0
17.4	412.0
17.6	461.0
17.8	428.0
18.0	363.0
18.2	363.0
18.4	409.0
18.6	396.0
18.8	387.0
19.0	358.0
19.2	363.0
19.4	328.0
19.6	351.0
19.8	316.0
20.0	326.0
