Distance (mm)	Counts
0.0	208.0
0.2	195.0
0.4	201.0
0.6	193.0
0.8	228.0
1.0	237.0
1.2	230.0
1.4	252.0
1.6	231.0
1.8	253.0
2.0	264.0
2.2	268.0
2.4	253.0
2.6	284.0
2.8	300.0
3.0	295.0
3.2	311.0
3.4	310.0
3.6	320.0
3.8	361.0
4.0	382.0
4.2	377.0
4.4	402.0
4.6	417.0
4.8	442.0
5.0	431.0
5.2	430.0
5.4	509.0
5.6	521.0
5.8	523.0
6.0	504.0
6.2	498.0
6.4	524.0
6.6	568.0
6.8	529.0
7.0	638.0
7.2	623.0
7.4	660.0
7.6	664.0
7.8	692.0
8.0	641.0
8.2	680.0
8.4	748.0
8.6	743.0
8.8	813.0
9.0	849.0
9.2	916.0
9.4	1133.0
9.6	1202.0
9.8	1381.0
10.0	1597.0
10.2	1792.0
10.4	2034.0
10.6	2248.0
10.8	2485.0
11.0	2643.0
11.2	2825.0
11.4	3031.0
11.6	3162.0
11.8	3080.0
12.0	3099.0
12.2	3003.0
12.4	2777.0
12.6	2639.0
12.8	2547.0
13.0	2406.0
13.2	2176.0
13.4	1954.0
13.6	1718.0
13.8	1520.0
14.0	1388.0
14.2	1104.0
14.4	1014.0
14.6	926.0
14.8	881.0
15.0	791.0
15.2	807.0
15.4	732.0
15.6	723.0
15.8	737.0
16.0	669.0
16.2	689.0
16.4	658.0
16.6	651.0
16.8	644.0
17.0	621.0
17.2	603.0
17.4	590.0
17.6	581.0
17.8	520.0
18.0	492.0
18.2	490.0
18.4	501.0
18.6	459.0
18.8	459.0
19.0	484.0
19.2	435.0
19.4	414.0
19.6	405.0
19.8	411.0
20.0	386.0
