Distance (mm)	Counts
0.0	248.0
0.2	269.0
0.4	252.0
0.6	213.0
0.8	258.0
1.0	265.0
1.2	261.0
1.4	287.0
1.6	273.0
1.8	271.0
2.0	310.0
2.2	300.0
2.4	301.0
2.6	343.0
2.8	343.0
3.0	365.0
3.2	338.0
3.4	321.0
3.6	384.0
3.8	371.0
4.0	387.0
4.2	411.0
4.4	417.0
4.6	437.0
4.8	444.0
5.0	429.0
5.2	520.0
5.4	512.0
5.6	594.0
5.8	718.0
6.0	791.0
6.2	908.0
6.4	998.0
6.6	1055.0
6.8	1191.0
7.0	1251.0
7.2	1371.0
7.4	1473.0
7.6	1393.0
7.8	1458.0
8.0	1531.0
8.2	1501.0
8.4	1391.0
8.6	1359.0
8.8	1288.0
9.0	1132.0
9.2	1096.0
9.4	967.0
9.6	919.0
9.8	875.0
10.0	833.0
10.2	799.0
10.4	685.0
10.6	673.0
10.8	688.0
11.0	688.0
11.2	755.0
11.4	783.0
11.6	902.0
11.8	923.0
12.0	1039.0
12.2	1134.0
12.4	1186.0
12.6	1219.0
12.8	1322.0
13.0	1474.0
13.2	1472.0
13.4	1542.0
13.6	1571.0
13.8	1518.0
14.0	1492.0
14.2	1386.0
14.4	1274.0
14.6	1228.0
14.8	1154.0
15.0	1036.0
15.2	1001.0
15.4	902.0
15.6	767.0
15.8	703.0
16.0	623.0
16.2	552.0
16.4	504.0
16.6	469.0
16.8	462.0
17.0	448.0
17.2	442.0
17.4	384.0
17.6	451.0
17.8	366.0
18.0	410.0
18.2	422.0
18.4	365.0
18.6	362.0
18.8	347.0
19.0	365.0
19.2	331.0
19.4	319.0
19.6	334.0
19.8	305.0
20.0	282.0
