Distance (mm)	Counts
0.0	227.0
0.2	243.0
0.4	211.0
0.6	251.0
0.8	241.0
1.0	274.0
1.2	269.0
1.4	288.0
1.6	289.0
1.8	263.0
2.0	303.0
2.2	315.0
2.4	310.0
2.6	342.0
2.8	360.0
3.0	364.0
3.2	343.0
3.4	368.0
3.6	345.0
3.8	420.0
4.0	404.0
4.2	407.0
4.4	454.0
4.6	448.0
4.8	407.0
5.0	480.0
5.2	478.0
5.4	498.0
5.6	560.0
5.8	607.0
6.0	639.0
6.2	782.0
6.4	877.0
6.6	976.0
6.8	1150.0
7.0	1160.0
7.2	1291.0
7.4	1444.0
7.6	1479.0
7.8	1570.0
8.0	1570.0
8.2	1574.0
8.4	1602.0
8.6	1598.0
8.8	1521.0
9.0	1404.0
9.2	1386.0
9.4	1312.0
9.6	1242.0
9.8	1152.0
10.0	1098.0
10.2	1031.0
10.4	853.0
10.6	786.0
10.8	787.0
11.0	796.0
11.2	751.0
11.4	808.0
11.6	933.0
11.8	981.0
12.0	1047.0
12.2	1213.0
12.4	1222.0
12.6	1352.0
12.8	1416.0
13.0	1562.0
13.2	1557.0
13.4	1771.0
13.6	1652.0
13.8	1737.0
14.0	1727.0
14.2	1602.0
14.4	1483.0
14.6	1449.0
14.8	1311.0
15.0	1324.0
15.2	1123.0
15.4	1075.0
15.6	959.0
15.8	843.0
16.0	797.0
16.2	704.0
16.4	603.0
16.6	557.0
16.8	508.0
17.0	516.0
17.2	461.0
17.4	492.0
17.6	487.0
17.8	461.0
18.0	399.0
18.2	438.0
18.4	412.0
18.6	375.0
18.8	405.0
19.0	349.0
19.2	423.0
19.4	379.0
19.6	354.0
19.8	343.0
20.0	372.0
