Distance (mm)	Counts
0.0	94.0
0.4	103.0
0.8	98.0
1.2	138.0
1.6	107.0
2.0	125.0
2.4	114.0
2.8	102.0
3.2	130.0
3.6	142.0
4.0	139.0
4.4	162.0
4.8	168.0
5.2	185.0
5.6	208.0
6.0	196.0
6.4	236.0
6.8	278.0
7.2	263.0
7.6	258.0
8.0	310.0
8.4	350.0
8.8	347.0
9.2	344.0
9.6	415.0
10.0	474.0
10.4	644.0
10.8	887.0
11.2	1120.0
11.6	1334.0
12.0	1538.0
12.4	1790.0
12.8	1826.0
13.2	1695.0
13.6	1555.0
14.0	1322.0
14.4	1165.0
14.8	863.0
15.2	681.0
15.6	529.0
16.0	413.0
16.4	393.0
16.8	375.0
17.2	338.0
17.6	308.0
18.0	304.0
18.4	292.0
18.8	280.0
19.2	270.0
19.6	255.0
20.0	251.0
20.4	218.0
20.8	186.0
21.2	193.0
21.6	165.0
22.0	159.0
22.4	135.0
22.8	155.0
23.2	132.0
23.6	142.0
24.0	117.0
24.4	109.0
24.8	105.0
25.2	112.0
25.6	93.0
26.0	106.0
26.4	91.0
26.8	92.0
27.2	94.0
27.6	102.0
28.0	85.0
28.4	90.0
28.8	72.0
29.2	73.0
29.6	86.0
30.0	81.0
