Distance (mm)	Counts
0.0	298.0
0.2	293.0
0.4	307.0
0.6	310.0
0.8	346.0
1.0	319.0
1.2	339.0
1.4	347.0
1.6	346.0
1.8	381.0
2.0	405.0
2.2	416.0
2.4	413.0
2.6	418.0
2.8	402.0
3.0	451.0
3.2	432.0
3.4	432.0
3.6	465.0
3.8	507.0
4.0	481.0
4.2	504.0
4.4	527.0
4.6	587.0
4.8	610.0
5.0	674.0
5.2	782.0
5.4	866.0
5.6	1001.0
5.8	1135.0
6.0	1184.0
6.2	1334.0
6.4	1390.0
6.6	1474.0
6.8	1605.0
7.0	1740.0
7.2	1661.0
7.4	1841.0
7.6	1890.0
7.8	1895.0
8.0	1926.0
8.2	1807.0
8.4	1778.0
8.6	1697.0
8.8	1643.0
9.0	1542.0
9.2	1399.0
9.4	1357.0
9.6	1285.0
9.8	1201.0
10.0	1084.0
10.2	1085.0
10.4	1043.0
10.6	1008.0
10.8	1125.0
11.0	1200.0
11.2	1232.0
11.4	1358.0
11.6	1376.0
11.8	1480.0
12.0	1552.0
12.2	1639.0
12.4	1716.0
12.6	1819.0
12.8	1804.0
13.0	1894.0
13.2	1825.0
13.4	1890.0
13.6	1800.0
13.8	1751.0
14.0	1639.0
14.2	1512.0
14.4	1510.0
14.6	1342.0
14.8	1251.0
15.0	1164.0
15.2	1017.0
15.4	950.0
15.6	840.0
15.8	723.0
16.0	655.0
16.2	603.0
16.4	595.0
16.6	532.0
16.8	521.0
17.0	514.0
17.2	503.0
17.4	493.0
17.6	526.0
17.8	475.0
18.0	453.0
18.2	455.0
18.4	424.0
18.6	433.0
18.8	406.0
19.0	383.0
19.2	372.0
19.4	394.0
19.6	407.0
19.8	348.0
20.0	329.0
