Distance (mm)	Counts
0.0	283.0
0.2	302.0
0.4	275.0
0.6	294.0
0.8	321.0
1.0	342.0
1.2	360.0
1.4	325.0
1.6	335.0
1.8	395.0
2.0	369.0
2.2	393.0
2.4	404.0
2.6	416.0
2.8	454.0
3.0	422.0
3.2	456.0
3.4	504.0
3.6	464.0
3.8	469.0
4.0	522.0
4.2	506.0
4.4	522.0
4.6	544.0
4.8	598.0
5.0	699.0
5.2	751.0
5.4	906.0
5.6	1016.0
5.8	1096.0
6.0	1178.0
6.2	1330.0
6.4	1405.0
6.6	1419.0
6.8	1595.0
7.0	1653.0
7.2	1818.0
7.4	1821.0
7.6	1896.0
7.8	1837.0
8.0	1809.0
8.2	1739.0
8.4	1729.0
8.6	1599.0
8.8	1581.0
9.0	1487.0
9.2	1367.0
9.4	1302.0
9.6	1262.0
9.8	1116.0
10.0	1089.0
10.2	1006.0
10.4	968.0
10.6	976.0
10.8	1095.0
11.0	1126.0
11.2	1187.0
11.4	1294.0
11.6	1344.0
11.8	1581.0
12.0	1559.0
12.2	1594.0
12.4	1624.0
12.6	1795.0
12.8	1822.0
13.0	1836.0
13.2	1870.0
13.4	1905.0
13.6	1704.0
13.8	1675.0
14.0	1624.0
14.2	1530.0
14.4	1480.0
14.6	1365.0
14.8	1204.0
15.0	1130.0
15.2	1048.0
15.4	944.0
15.6	840.0
15.8	702.0
16.0	678.0
16.2	631.0
16.4	552.0
16.6	566.0
16.8	530.0
17.0	496.0
17.2	492.0
17.4	506.0
17.6	455.0
17.8	467.0
18.0	479.0
18.2	418.0
18.4	416.0
18.6	433.0
18.8	396.0
19.0	440.0
19.2	384.0
19.4	399.0
19.6	401.0
19.8	378.0
20.0	323.0
