Distance (mm)	Counts
0.0	142.0
0.2	166.0
0.4	163.0
0.6	170.0
0.8	161.0
1.0	185.0
1.2	185.0
1.4	178.0
1.6	204.0
1.8	190.0
2.0	188.0
2.2	197.0
2.4	204.0
2.6	203.0
2.8	222.0
3.0	218.0
3.2	207.0
3.4	214.0
3.6	248.0
3.8	236.0
4.0	250.0
4.2	264.0
4.4	291.0
4.6	277.0
4.8	311.0
5.0	323.0
5.2	324.0
5.4	329.0
5.6	334.0
5.8	344.0
6.0	375.0
6.2	340.0
6.4	405.0
6.6	417.0
6.8	460.0
7.0	464.0
7.2	423.0
7.4	453.0
7.6	450.0
7.8	510.0
8.0	455.0
8.2	503.0
8.4	543.0
8.6	562.0
8.8	534.0
9.0	582.0
9.2	588.0
9.4	618.0
9.6	599.0
9.8	668.0
10.0	666.0
10.2	694.0
10.4	776.0
10.6	887.0
10.8	1109.0
11.0	1246.0
11.2	1501.0
11.4	1765.0
11.6	1920.0
11.8	2127.0
12.0	2291.0
12.2	2555.0
12.4	2508.0
12.6	2602.0
12.8	2609.0
13.0	2408.0
13.2	2171.0
13.4	2087.0
13.6	1932.0
13.8	1698.0
14.0	1429.0
14.2	1180.0
14.4	1036.0
14.6	915.0
14.8	766.0
15.0	732.0
15.2	712.0
15.4	662.0
15.6	642.0
15.8	623.0
16.0	626.0
16.2	556.0
16.4	577.0
16.6	586.0
16.8	573.0
17.0	533.0
17.2	539.0
17.4	532.0
17.6	514.0
17.8	491.0
18.0	466.0
18.2	461.0
18.4	472.0
18.6	470.0
18.8	438.0
19.0	386.0
19.2	381.0
19.4	392.0
19.6	380.0
19.8	340.0
20.0	366.0
