Distance (mm)	Counts
0.0	99.0
0.4	82.0
0.8	92.0
1.2	86.0
1.6	101.0
2.0	108.0
2.4	114.0
2.8	107.0
3.2	127.0
3.6	127.0
4.0	129.0
4.4	131.0
4.8	142.0
5.2	140.0
5.6	163.0
6.0	169.0
6.4	182.0
6.8	209.0
7.2	216.0
7.6	227.0
8.0	250.0
8.4	240.0
8.8	280.0
9.2	303.0
9.6	300.0
10.0	364.0
10.4	349.0
10.8	395.0
11.2	390.0
11.6	558.0
12.0	740.0
12.4	962.0
12.8	1210.0
13.2	1471.0
13.6	1706.0
14.0	1841.0
14.4	1949.0
14.8	1831.0
15.2	1750.0
15.6	1514.0
16.0	1350.0
16.4	1082.0
16.8	914.0
17.2	662.0
17.6	538.0
18.0	499.0
18.4	432.0
18.8	390.0
19.2	351.0
19.6	311.0
20.0	303.0
20.4	311.0
20.8	280.0
21.2	273.0
21.6	243.0
22.0	225.0
22.4	195.0
22.8	201.0
23.2	202.0
23.6	169.0
24.0	163.0
24.4	144.0
24.8	147.0
25.2	139.0
25.6	104.0
26.0	137.0
26.4	125.0
26.8	104.0
27.2	97.0
27.6	91.0
28.0	91.0
28.4	100.0
28.8	90.0
29.2	101.0
29.6	100.0
30.0	82.0
